date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:24	733/733	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2022%20Feb%202021%2015:59:25%20GMT	https://eletivafis.com.br/comments/feed/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/comments/feed/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:25	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:25	905/905	---MC-	200	added ('OK')	application/rss+xml	date:Mon,%2022%20Feb%202021%2015:59:25%20GMT	https://eletivafis.com.br/super-cavalo-funciona/feed/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/super-cavalo-funciona/feed/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:25	9914/9914	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20May%202020%2018:56:17%20GMT	https://eletivafis.com.br/core/modules/6075d435ea/public/style/mb-button.css	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/6075d435ea/public/style/mb-button.css	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:25	9076/9076	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2011%20Feb%202021%2019:41:25%20GMT	https://eletivafis.com.br/core/modules/974388b53b/assets/js/frontend-gtag.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/974388b53b/assets/js/frontend-gtag.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:26	89496/89496	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2009%20Dec%202020%2012:23:22%20GMT	https://eletivafis.com.br/lib/js/jquery/jquery.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/lib/js/jquery/jquery.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:26	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2009%20Dec%202020%2012:23:22%20GMT	https://eletivafis.com.br/lib/js/jquery/jquery-migrate.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/lib/js/jquery/jquery-migrate.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:26	33561/33561	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2031%20Dec%202020%2013:57:28%20GMT	https://eletivafis.com.br/core/modules/cookie-law-info/public/js/cookie-law-info-public.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/cookie-law-info/public/js/cookie-law-info-public.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:26	95832/95832	---MCZ	200	added ('OK')	application/x-javascript	date:Fri,%2011%20Dec%202020%2000:22:43%20GMT	https://eletivafis.com.br/core/modules/554ba96ecc/js/jquery-1.11.1.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/554ba96ecc/js/jquery-1.11.1.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:26	1403/1403	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Sep%202020%2011:43:41%20GMT	https://eletivafis.com.br/core/modules/554ba96ecc/js/jquery.mousewheel-3.0.6.pack.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/554ba96ecc/js/jquery.mousewheel-3.0.6.pack.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:27	50730/50730	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2011%20Dec%202020%2000:22:43%20GMT	https://eletivafis.com.br/core/modules/554ba96ecc/js/jquery.fancybox.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/554ba96ecc/js/jquery.fancybox.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:27	7619/7619	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Sep%202020%2011:43:41%20GMT	https://eletivafis.com.br/core/modules/554ba96ecc/js/seo.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/554ba96ecc/js/seo.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:29	32314/32314	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Feb%202021%2015:59:29%20GMT	https://eletivafis.com.br/wp-json/wp/v2/posts/617	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/wp-json/wp/v2/posts/617.json	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:29	119237/119237	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Feb%202021%2015:59:29%20GMT	https://eletivafis.com.br/wp-json/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/wp-json/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
